"trainer/global_step","arm-170M - eval/arc_easy_acc_norm","arm-170M - eval/arc_easy_acc_norm__MIN","arm-170M - eval/arc_easy_acc_norm__MAX","arm-170M - _step","arm-170M - _step__MIN","arm-170M - _step__MAX","prime-170M-l15 - eval/arc_easy_acc_norm","prime-170M-l15 - eval/arc_easy_acc_norm__MIN","prime-170M-l15 - eval/arc_easy_acc_norm__MAX","prime-170M-l15 - _step","prime-170M-l15 - _step__MIN","prime-170M-l15 - _step__MAX","prime-170M-l3 - eval/arc_easy_acc_norm","prime-170M-l3 - eval/arc_easy_acc_norm__MIN","prime-170M-l3 - eval/arc_easy_acc_norm__MAX","prime-170M-l3 - _step","prime-170M-l3 - _step__MIN","prime-170M-l3 - _step__MAX","prime-170M-l1 - eval/arc_easy_acc_norm","prime-170M-l1 - eval/arc_easy_acc_norm__MIN","prime-170M-l1 - eval/arc_easy_acc_norm__MAX","prime-170M-l1 - _step","prime-170M-l1 - _step__MIN","prime-170M-l1 - _step__MAX"
"64000","0.42","0.42","0.42","2422","2422","2422","0.42","0.42","0.42","1918","1918","1918","","","","","","","0.31","0.31","0.31","2928","2928","2928"
"66000","0.38","0.38","0.38","2624","2624","2624","0.38","0.38","0.38","2120","2120","2120","","","","","","","0.3","0.3","0.3","3130","3130","3130"
"68000","0.39","0.39","0.39","2826","2826","2826","0.4","0.4","0.4","2322","2322","2322","","","","","","","0.31","0.31","0.31","3332","3332","3332"
"70000","0.36","0.36","0.36","3028","3028","3028","0.38","0.38","0.38","2524","2524","2524","","","","","","","0.28","0.28","0.28","3534","3534","3534"
"72000","0.37","0.37","0.37","3230","3230","3230","0.39","0.39","0.39","2726","2726","2726","","","","","","","","","","","",""
"74000","0.4","0.4","0.4","3432","3432","3432","0.41","0.41","0.41","2928","2928","2928","","","","","","","","","","","",""
"76000","0.42","0.42","0.42","3634","3634","3634","0.42","0.42","0.42","3130","3130","3130","","","","","","","","","","","",""
"78000","0.35","0.35","0.35","3836","3836","3836","0.43","0.43","0.43","3332","3332","3332","","","","","","","","","","","",""
"80000","0.39","0.39","0.39","4038","4038","4038","0.4","0.4","0.4","3534","3534","3534","","","","","","","","","","","",""
"82000","","","","","","","0.39","0.39","0.39","3736","3736","3736","","","","","","","","","","","",""
"84000","","","","","","","0.4","0.4","0.4","3938","3938","3938","","","","","","","","","","","",""
"86000","","","","","","","0.43","0.43","0.43","4140","4140","4140","","","","","","","","","","","",""
